"id","STREET_NAME","yearCreated","totPotHole"
"822","BURNS AV","2024",8
"823","CALIFORNIA AV","2024",8
"824","CAMBRIDGE AV","2024",8
"825","CARDIFF AV","2024",8
"826","CARR ST","2024",8
"827","CARY AV","2024",8
"828","CHANDLER ST","2023",8
"829","CLEARVIEW AV","2024",8
"830","COURT ST","2024",8
"831","CULVERT ST","2023",8
"832","DAUNER AV","2024",8
"833","DAYTONA AV","2023",8
"834","DAYTONA AV","2025",8
"835","DURY AV","2024",8
"836","FARADAY RD","2025",8
"837","FREEMAN AV","2024",8
"838","GLENVIEW AV","2024",8
"839","HALE AV","2023",8
"840","HARRIS AV","2025",8
"841","HERMOSA AV","2024",8
"842","HIDDEN ST","2025",8
"843","HUTTON ST","2024",8
"844","KENILWORTH PL","2025",8
"845","KINGS RUN CT","2024",8
"846","LAFAYETTE AV","2024",8
"847","MONITOR AV","2023",8
"848","MONITOR AV","2025",8
"849","PAMELEEN CT","2023",8
"850","PINERIDGE AV","2024",8
"851","PULLAN AV","2024",8
"852","RIDDLE RD","2024",8
"853","RIDGETOP WY","2024",8
"854","RIDGETOP WY","2025",8
"855","SHAW AV","2024",8
"856","SMITH ST","2024",8
"857","STANDISH AV","2024",8
"858","TELFORD ST","2024",8
"859","VIENNA WOODS DR","2025",8
"860","VINEWOOD AV","2023",8
"861","VOSS ST","2025",8
"862","WABASH AV","2023",8
"863","WADE ST","2024",8
"864","WALNUT ST","2023",8
"865","WASHBURN ST","2023",8
"866","WEBBLAND PL","2024",8
"867","WESS PARK DR","2025",8
"868","WHITFIELD AV","2024",8
"869","WILMER CT","2023",8
"870","WINCHESTER AV","2023",8
"871","WINDWARD ST","2024",8
"872","WINNESTE AV","2025",8
"873","WINTER ST","2025",8
"874","WITLER ST","2023",8
"875","WITLER ST","2025",8
"876","14TH ST","2025",7
"877","ALBANY TER","2025",7
"878","ALLENDALE DR","2023",7
"879","AULT VIEW AV","2025",7
"880","BARROW AV","2023",7
"881","BITTEROOT LN","2025",7
"882","BRAZEE ST","2023",7
"883","BUELL ST","2025",7
"884","BURNS AV","2025",7
"885","BURNS CT","2025",7
"886","CALIFORNIA AV","2023",7
"887","CAMPUS GREEN DR","2025",7
"888","CARLIN ST","2025",7
"889","CLIFTON HILLS TER","2024",7
"890","CLINTON SPRINGS LN","2024",7
"891","CORRY ST","2024",7
"892","DELRIDGE DR","2023",7
"893","DEPOT ST","2025",7
"894","DIX ST","2024",7
"895","ELIZA ST","2024",7
"896","ELIZABETH ST","2025",7
"897","ELSINORE PL","2023",7
"898","EVANS ST","2024",7
"899","FORBUS ST","2023",7
"900","FOREST AV","2023",7
"901","HERSCHEL VIEW PL","2025",7
"902","HILLSIDE AV","2023",7
"903","IDLEWILD AV","2023",7
"904","INGLESIDE AV","2023",7
"905","KROGER AV","2023",7
"906","LINCOLN AV","2023",7
"907","LINGO ST","2025",7
"908","MAPLE DR","2024",7
"909","MARSHALL AV","2025",7
"910","MERYTON PL","2025",7
"911","MONTEVISTA DR","2025",7
"912","MT HOPE AV","2023",7
"913","ORCHARD LN","2025",7
"914","PAPE AV","2023",7
"915","PROBASCO ST","2023",7
"916","QUEBEC RD","2025",7
"917","RANCHVALE DR","2024",7
"918","RAVINE ST","2025",7
"919","REEDY ST","2024",7
"920","REPUBLIC ST","2024",7
"921","ROBERTSON AV","2024",7
"922","ROCHELLE ST","2023",7
"923","RUE DE LA PAIX","2023",7
"924","SARANAC AV","2023",7
"925","SOUTHERN AV","2023",7
"926","STANLEY AV","2024",7
"927","STERNBLOCK LN","2023",7
"928","STRAIGHT ST","2024",7
"929","TOWNE ST","2024",7
"930","TOWNEVISTA DR","2024",7
"931","TWEED AV","2025",7
"932","VERNE AV","2024",7
"933","WALDWAY LN","2023",7
"934","WESTBROOK DR","2025",7
"935","WESTWOOD NORTHERN BLVD","2023",7
"936","WILDWOOD ST","2025",7
"937","WINCHELL AV","2024",7
"938","WINDWARD ST","2025",7
"939","WINTON RD","2024",7
"940","WITTEKIND TER","2023",7
"941","WORTH ST","2025",7
"942","68TH ST","2024",6
"943","APPLETON ST","2025",6
"944","ASHTREE DR","2024",6
"945","ASHTREE DR","2025",6
"946","ASHWORTH DR","2025",6
"947","BARKER RD","2025",6
"948","BEECHCREST PL","2025",6
"949","BERCLIFF AV","2025",6
"950","BURSAL AV","2025",6
"951","BUTTERCUP LN","2025",6
"952","CANYON DR","2025",6
"953","CARLL ST","2024",6
"954","CARREL ST","2025",6
"955","CHATEAU AV","2025",6
"956","CLANORA DR","2025",6
"957","CORTELYOU AV","2024",6
"958","DARWIN PL","2025",6
"959","DAVENANT AV","2025",6
"960","DELTA AV","2023",6
"961","DICKENS AV","2023",6
"962","DIRR ST","2025",6
"963","EBERSOLE AV","2025",6
"964","ECHO LN","2025",6
"965","ENRIGHT AV","2024",6
"966","ESCALON ST","2023",6
"967","FRED SHUTTLESWORTH CIR","2023",6
"968","GAGE ST","2025",6
"969","GARRARD AV","2025",6
"970","GLADE AV","2024",6
"971","GLENGATE LN","2023",6
"972","GOODMAN DR","2024",6
"973","GREENWOOD TER","2024",6
"974","HALLWOOD PL","2024",6
"975","HARRIS AV","2024",6
"976","HEMLOCK ST","2024",6
"977","HIGHFOREST LN","2025",6
"978","HILDRETH AV","2023",6
"979","HOME CITY AV","2025",6
"980","HOPKINS ST","2025",6
"981","HUTTON ST","2023",6
"982","HUTTON ST","2025",6
"983","I-75 NB EXWY","2024",6
"984","IVANHOE AV","2024",6
"985","JOSELIN AV","2023",6
"986","JOSELIN AV","2024",6
"987","KREMER AV","2023",6
"988","LARCH AV","2025",6
"989","LINGO ST","2024",6
"990","MAIN ST","2023",6
"991","MARKBREIT AV","2025",6
"992","MATHERS ST","2025",6
"993","MAY ST","2023",6
"994","MCALPIN AV","2023",6
"995","MCPHERSON AV","2025",6
"996","MEADOWMAR LN","2025",6
"997","MEDPACE WY","2023",6
"998","MONASTERY ST","2023",6
"999","MORRISON AV","2023",6
"1000","MT HOPE AV","2024",6
"1001","NICHOLSON AV","2025",6
"1002","OAK RIDGE RD","2025",6
"1003","ORLAND AV","2025",6
"1004","OVERLAND AV","2023",6
"1005","PARKSON PL","2025",6
"1006","PRENTICE ST","2025",6
"1007","ROBINWOOD AV","2023",6
"1008","ROSECLIFF DR","2023",6
"1009","ROSEMONT AV","2023",6
"1010","SIMPSON AV","2024",6
"1011","STANDISH AV","2023",6
"1012","STEGER DR","2023",6
"1013","STERNBLOCK LN","2025",6
"1014","STETTINIUS AV","2024",6
"1015","SUTTON AV","2023",6
"1016","TARPIS AV","2024",6
"1017","TEAKWOOD CT","2024",6
"1018","TEMPLE AV","2023",6
"1019","TERALTA CIR","2023",6
"1020","THORNHILL AV","2025",6
"1021","TORRENCE CT","2023",6
"1022","TREMONT ST","2025",6
"1023","TRENTON AV","2024",6
"1024","TRIMBLE AV","2023",6
"1025","UNIVERSITY AV","2023",6
"1026","VANDERCAR WY","2024",6
"1027","VERNE AV","2023",6
"1028","VIRBET DR","2023",6
"1029","WABASH AV","2025",6
"1030","WASIGO DR","2024",6
"1031","WASSON RD","2023",6
"1032","WESTWOOD NORTHERN BLVD","2024",6
"1033","WILDWOOD ST","2023",6
"1034","WILLIAM H TAFT RD","2024",6
"1035","WILLIAM P DOOLEY BYPS","2025",6
"1036","WINCHELL AV","2025",6
"1037","WOODBURN AV","2025",6
"1038","WORTH ST","2023",6
"1039","WYOMING AV","2024",6
"1040","WYOMING AV","2025",6
"1041","ZINSLE AV","2024",6
"1042","12TH ST","2025",5
"1043","73RD ST","2024",5
"1044","ALABAMA AV","2023",5
"1045","ALMS PL","2025",5
"1046","ASTER PL","2023",5
"1047","ATKINSON ST","2024",5
"1048","AULT VIEW AV","2024",5
"1049","AVERY LN","2024",5
"1050","BADER ST","2023",5
"1051","BAKER AV","2023",5
"1052","BAUER AV","2024",5
"1053","BEACON ST","2024",5
"1054","BEECHMONT CT","2024",5
"1055","BLAIR CT","2024",5
"1056","BRANCH ST","2024",5
"1057","BROADWAY","2023",5
"1058","BROADWELL AV","2024",5
"1059","BRYANT AV","2025",5
"1060","BUELL ST","2023",5
"1061","BURNS AV","2023",5
"1062","BURTON AV","2023",5
"1063","BUTTERCUP LN","2024",5
"1064","CALVERT ST","2023",5
"1065","CALVERT ST","2024",5
"1066","CARNEY ST","2025",5
"1067","CLANORA DR","2024",5
"1068","CLAYTON ST","2025",5
"1069","CLIFTON HILLS TER","2025",5
"1070","CLOSE CT","2024",5
"1071","CONSIDINE AV","2024",5
"1072","CRAFT ST","2025",5
"1073","CYCLORAMA DR","2025",5
"1074","EASTWOOD CIR","2025",5
"1075","EDEN AV","2024",5
"1076","EDNA AV","2024",5
"1077","EGGERS PL","2023",5
"1078","EHRMAN AV","2025",5
"1079","ERLENE DR","2025",5
"1080","FAIRMOUNT AV","2025",5
"1081","FENTON AV","2025",5
"1082","FULLER ST","2023",5
"1083","GELLENBECK ST","2025",5
"1084","GEORGIA AV","2025",5
"1085","GERINGER ST","2024",5
"1086","GLENWOOD AV","2023",5
"1087","GRAND AV","2023",5
"1088","GROESBECK RD","2024",5
"1089","HALSEY AV","2025",5
"1090","HARVEY AV","2024",5
"1091","HEMLOCK ST","2023",5
"1092","HENSHAW AV","2024",5
"1093","HENSHAW AV","2025",5
"1094","HERMAN ST","2025",5
"1095","HEUWERTH AV","2023",5
"1096","HEUWERTH AV","2024",5
"1097","HEUWERTH AV","2025",5
"1098","HIRSCH DR","2023",5
"1099","HOGE ST","2025",5
"1100","HOLLAND DR","2024",5
"1101","HOLLOWAY AV","2023",5
"1102","HOLLYWOOD AV","2024",5
"1103","HUEY AV","2025",5
"1104","JOHN ST","2024",5
"1105","KINNEY AV","2025",5
"1106","KNOWLTON ST","2025",5
"1107","KREMER AV","2025",5
"1108","LAIDLAW AV","2023",5
"1109","LAKEVIEW AV","2025",5
"1110","LANG ST","2025",5
"1111","LEDGEWOOD DR","2024",5
"1112","LEEPER ST","2023",5
"1113","LIBERTY ST","2023",5
"1114","LUMSDEN ST","2025",5
"1115","MAPLELEAF AV","2023",5
"1116","MARSHALL AV","2023",5
"1117","MARSHALL AV","2024",5
"1118","MATHIS ST","2025",5
"1119","MAYFLOWER AV","2025",5
"1120","MAYRIDGE CT","2023",5
"1121","MCALPIN AV","2024",5
"1122","MCMAKIN AV","2023",5
"1123","MERIWEATHER AV","2025",5
"1124","MIDWAY AV","2024",5
"1125","MURDOCK AV","2024",5
"1126","NORWOOD LATERAL EB","2024",5
"1127","NORWOOD LATERAL WB","2023",5
"1128","OLD LUDLOW AV","2025",5
"1129","ORCHARD LN","2024",5
"1130","OVERLAND AV","2025",5
"1131","PADDOCK HILLS AV","2025",5
"1132","PARK AV","2024",5
"1133","PATRICK DR","2023",5
"1134","PEASLEE AV","2024",5
"1135","RALSTON AV","2023",5
"1136","RANCHVALE DR","2025",5
"1137","RONALDSON AV","2025",5
"1138","SAYBROOK AV","2025",5
"1139","SCHULTE DR","2025",5
"1140","SPRINGLAWN AV","2024",5
"1141","ST LEO PL","2023",5
"1142","STANHILL CT","2023",5
"1143","SUTTER AV","2023",5
"1144","SYMMES ST","2025",5
"1145","TORRENCE PKWY","2025",5
"1146","TWAIN AV","2023",5
"1147","VIENNA WOODS DR","2023",5
"1148","VINEWOOD AV","2025",5
"1149","VIRGINIA AV","2023",5
"1150","WADE ST","2023",5
"1151","WALLACE AV","2023",5
"1152","WAREHAM DR","2024",5
"1153","WELTON ST","2025",5
"1154","WENDEE DR","2025",5
"1155","WESS PARK DR","2024",5
"1156","WILLIAMSBURG DR","2024",5
"1157","WINFIELD AV","2025",5
"1158","WINNESTE AV","2023",5
"1159","WYATT AV","2025",5
"1160","","2025",4
"1161","ALAMO AV","2025",4
"1162","ALMS PL","2024",4
"1163","ART MUSEUM DR","2023",4
"1164","BANK ST","2024",4
"1165","BAUM ST","2025",4
"1166","BEECH AV","2025",4
"1167","BEECHCREST PL","2023",4
"1168","BEECHER ST","2024",4
"1169","BERKLEY AV","2023",4
"1170","BOONE ST","2024",4
"1171","BUCK ST","2023",4
"1172","BUELL ST","2024",4
"1173","BURCH AV","2025",4
"1174","BURSAL AV","2023",4
"1175","CALVIN CLIFF ST","2024",4
"1176","CAMPUS GREEN DR","2024",4
"1177","CAPPEL DR","2025",4
"1178","CHAPEL ST","2025",4
"1179","CHASE AV","2023",4
"1180","CLEARVIEW AV","2025",4
"1181","CLEVELAND AV","2023",4
"1182","CLIFTON HILLS TER","2023",4
"1183","CRAWFORD AV","2024",4
"1184","CUSTER ST","2024",4
"1185","DELANEY ST","2023",4
"1186","DELANEY ST","2025",4
"1187","DELHI AV","2024",4
"1188","DESMOND ST","2023",4
"1189","DOVER ST","2023",4
"1190","EASTERN AV","2023",4
"1191","EDNA AV","2025",4
"1192","EHRMAN AV","2024",4
"1193","ESSEX PL","2025",4
"1194","EUCLID AV","2025",4
"1195","FAIRMOUNT AV","2023",4
"1196","FAIRPARK AV","2023",4
"1197","FAIRVIEW AV","2023",4
"1198","FERGUSON PL","2023",4
"1199","FERGUSON PL","2024",4
"1200","FERGUSON PL","2025",4
"1201","FINDLAY ST","2023",4
"1202","FIRTREE CT","2023",4
"1203","FLINN AV","2024",4
"1204","FREDERICK AV","2024",4
"1205","FYFFE AV","2024",4
"1206","GEIER DR","2025",4
"1207","GLEN ORCHARD DR","2024",4
"1208","GLENMARY AV","2025",4
"1209","GRAY RD","2023",4
"1210","GRIFFITHS AV","2025",4
"1211","GROESBECK RD","2023",4
"1212","GUERLEY RD","2023",4
"1213","HANDMAN AV","2023",4
"1214","HARBESON AV","2023",4
"1215","HARTWELL AV","2023",4
"1216","HARVEY AV","2023",4
"1217","HEWITT CRSC","2025",4
"1218","HOLBROOK AV","2025",4
"1219","HOLLENSHADE AV","2024",4
"1220","HOLLYWOOD AV","2023",4
"1221","HOPPLE ST","2024",4
"1222","HUGHES ST","2023",4
"1223","HYDE PARK AV","2024",4
"1224","I-74 EB EXWY","2025",4
"1225","INGLESIDE AV","2025",4
"1226","IRVELLA PL","2024",4
"1227","KILGOUR ST","2023",4
"1228","KINGSLEY DR","2024",4
"1229","KIRKUP AV","2023",4
"1230","KIRKUP AV","2024",4
"1231","KNOLLWOOD LN","2025",4
"1232","LOISKA LN","2023",4
"1233","LURAY AV","2025",4
"1234","MAPLELEAF AV","2024",4
"1235","MAPLELEAF AV","2025",4
"1236","MEARS AV","2025",4
"1237","MIAMI AV","2023",4
"1238","MICHIGAN AV","2025",4
"1239","MONASTERY ST","2024",4
"1240","MOUND ST","2025",4
"1241","OAKWOOD AV","2025",4
"1242","OBSERVATORY DR","2025",4
"1243","OGDEN PL","2025",4
"1244","PARKCREST LN","2024",4
"1245","PARKMAN PL","2023",4
"1246","PEASLEE AV","2023",4
"1247","PLAYFIELD LN","2025",4
"1248","PRESIDENT DR","2024",4
"1249","PRINCIPIO AV","2025",4
"1250","PROSSER AV","2025",4
"1251","RADCLIFF DR","2024",4
"1252","ROHS ST","2024",4
"1253","ROHS ST","2025",4
"1254","ROSSLYN DR","2024",4
"1255","RUE DE LA PAIX","2024",4
"1256","SALEM RD","2024",4
"1257","SCHULTE DR","2023",4
"1258","SCHULTE DR","2024",4
"1259","SECTION RD","2023",4
"1260","SEEGAR AV","2024",4
"1261","SHAW AV","2023",4
"1262","SHERMAN AV","2024",4
"1263","SHERWOOD AV","2025",4
"1264","SOUTH ST","2025",4
"1265","SPINDLEHILL DR","2024",4
"1266","SPRINGBROOK DR","2024",4
"1267","ST JOHNS PL","2025",4
"1268","STANHILL CT","2025",4
"1269","STEINER AV","2025",4
"1270","STILLE DR","2024",4
"1271","STILLWELL RD","2025",4
"1272","STREAMSIDE CT","2023",4
"1273","SYMMES ST","2023",4
"1274","TAHITI DR","2025",4
"1275","THORNTON AV","2024",4
"1276","TURPIN ST","2024",4
"1277","TURPIN ST","2025",4
"1278","UNIVERSITY AV","2025",4
"1279","UNIVERSITY CT","2024",4
"1280","UPLAND PL","2024",4
"1281","UPLAND PL","2025",4
"1282","VALLEYVIEW AV","2025",4
"1283","WALNUT ST","2024",4
"1284","WAREHAM DR","2023",4
"1285","WENATCHEE LN","2025",4
"1286","WERON LN","2025",4
"1287","WESTRIDGE AV","2023",4
"1288","WHITFIELD AV","2023",4
"1289","WILMER CT","2024",4
"1290","WINDSOR ST","2023",4
"1291","WINDSOR ST","2025",4
"1292","WINDSORHILL DR","2024",4
"1293","WITTEKIND TER","2025",4
"1294","YOSEMITE DR","2024",4
"1295","","2023",3
"1296","12TH ST","2024",3
"1297","AIKENSIDE AV","2023",3
"1298","ALAMO AV","2024",3
"1299","ALLVIEW CIR","2025",3
"1300","AMMON AV","2025",3
"1301","ANDINA AV","2025",3
"1302","ARNSBY PL","2025",3
"1303","ASTORIA AV","2025",3
"1304","ATKINSON ST","2023",3
"1305","AVONLEA AV","2024",3
"1306","BATES AV","2025",3
"1307","BEACON ST","2023",3
"1308","BEECHMONT CIR","2024",3
"1309","BITTEROOT LN","2023",3
"1310","BLANEY AV","2025",3
"1311","BROOKCREST DR","2023",3
"1312","BRUSHWOOD AV","2025",3
"1313","BURCH AV","2023",3
"1314","BURCH AV","2024",3
"1315","CAMARGO RD","2024",3
"1316","CAMPBELL ST","2025",3
"1317","CARSON AV","2024",3
"1318","CHAPEL ST","2024",3
"1319","CHICKASAW ST","2025",3
"1320","CLIFF LAINE DR","2024",3
"1321","CLINTON SPRINGS LN","2025",3
"1322","CONSIDINE AV","2023",3
"1323","COOK ST","2023",3
"1324","CORVALLIS AV","2023",3
"1325","DANIELS ST","2024",3
"1326","DAVID ST","2025",3
"1327","DELL TER","2025",3
"1328","DUCK CREEK CT","2024",3
"1329","DULUTH AV","2025",3
"1330","EASTLAWN DR","2024",3
"1331","EATONDALE DR","2024",3
"1332","EBERSOLE AV","2024",3
"1333","EBONY LN","2023",3
"1334","EHRMAN AV","2023",3
"1335","ELMHURST PL","2023",3
"1336","ELSINORE AV","2025",3
"1337","ELSTUN RD","2025",3
"1338","EPWORTH AV","2023",3
"1339","EPWORTH AV","2024",3
"1340","FACTORY COLONY LN","2025",3
"1341","FAIRMOUNT AV","2024",3
"1342","FERNCROFT DR","2023",3
"1343","FINDLAY ST","2024",3
"1344","FOLEY RD","2025",3
"1345","FRINTZ ST","2025",3
"1346","GEORGIA AV","2023",3
"1347","GLENGATE LN","2025",3
"1348","GLENSHADE AV","2025",3
"1349","GOLDENROD DR","2025",3
"1350","GRACELY DR","2023",3
"1351","HALLWOOD PL","2025",3
"1352","HAMMEL AV","2025",3
"1353","HARBESON AV","2024",3
"1354","HATMAKER ST","2025",3
"1355","HAVEN ST","2024",3
"1356","HEARNE AV","2025",3
"1357","HEBRON CT","2023",3
"1358","HERSCHEL VIEW PL","2024",3
"1359","HILL ST","2023",3
"1360","HOADLY CT","2024",3
"1361","HOMER AV","2023",3
"1362","HONEYSUCKLE DR","2024",3
"1363","HOPKINS ST","2023",3
"1364","HUNSFORD ST","2024",3
"1365","IBSEN AV","2024",3
"1366","INDIAN HILL RD","2025",3
"1367","JADARO CT","2024",3
"1368","JOSEPHINE ST","2023",3
"1369","KENDALL AV","2025",3
"1370","KENNER ST","2025",3
"1371","KESSLER PL","2023",3
"1372","KIBBY LN","2025",3
"1373","KILGOUR ST","2025",3
"1374","KINSEY AV","2023",3
"1375","KINSEY AV","2024",3
"1376","KIRKWOOD LN","2025",3
"1377","KROGER AV","2024",3
"1378","KROGERVALLEY DR","2025",3
"1379","LACLEDE AV","2024",3
"1380","LAREDO AV","2025",3
"1381","LINCOLN AV","2024",3
"1382","LINCOLN AV","2025",3
"1383","LINDEN DR","2024",3
"1384","LIVINGSTON ST","2024",3
"1385","LOWELL AV","2025",3
"1386","LURAY AV","2023",3
"1387","MADISON LN","2023",3
"1388","MANSION AV","2023",3
"1389","MAPLE RIDGE RD","2024",3
"1390","MARTIN DR","2023",3
"1391","MATSON PL","2025",3
"1392","MONTEVISTA DR","2023",3
"1393","MURDOCK AV","2025",3
"1394","MUSTANG DR","2025",3
"1395","NASSAU ST","2023",3
"1396","NASSAU ST","2024",3
"1397","OLD LUDLOW AV","2024",3
"1398","PARADROME ST","2023",3
"1399","PARKCREST LN","2023",3
"1400","PEABODY AV","2025",3
"1401","PENNSYLVANIA AV","2025",3
"1402","PLAYFIELD LN","2024",3
"1403","PLEASANT ST","2023",3
"1404","PRODUCTION DR","2023",3
"1405","PROSPECT PL","2023",3
"1406","QUANTE AV","2025",3
"1407","REGENT AV","2024",3
"1408","RENSLAR AV","2024",3
"1409","RESOR AV","2023",3
"1410","RESOR AV","2025",3
"1411","RINGGOLD ST","2024",3
"1412","RIPPLEWOOD LN","2024",3
"1413","ROANOKE ST","2024",3
"1414","ROCHELLE ST","2024",3
"1415","ROCKDALE AV","2023",3
"1416","ROCKDALE AV","2024",3
"1417","ROSA PARKS ST","2025",3
"1418","RUTH AV","2023",3
"1419","SAVANNAH AV","2023",3
"1420","SAYBROOK AV","2024",3
"1421","SEDAM ST","2023",3
"1422","SEEGAR AV","2023",3
"1423","SEITZ ST","2025",3
"1424","SHAFFER AV","2023",3
"1425","SPRINGBROOK DR","2025",3
"1426","ST JAMES AV","2024",3
"1427","ST JOHNS PL","2023",3
"1428","STANTON AV","2025",3
"1429","STEGER DR","2024",3
"1430","STETSON ST","2025",3
"1431","SUIRE AV","2024",3
"1432","SUNRIDGE DR","2025",3
"1433","TAHITI DR","2024",3
"1434","TERRACE AV","2023",3
"1435","TERRACE AV","2025",3
"1436","THOBURNE ST","2023",3
"1437","THOMPSON AV","2025",3
"1438","UNIVERSITY AV","2024",3
"1439","VAN BUREN AV","2024",3
"1440","VEAZEY AV","2024",3
"1441","VESTRY AV","2024",3
"1442","VILLA LN","2023",3
"1443","VILLA LN","2025",3
"1444","VINECREST PL","2023",3
"1445","VIRBET DR","2025",3
"1446","VIRGINIA AV","2024",3
"1447","WADSBURY DR","2025",3
"1448","WARD ST","2023",3
"1449","WARDALL AV","2025",3
"1450","WASHINGTON AV","2025",3
"1451","WEBBLAND PL","2023",3
"1452","WEBBLAND PL","2025",3
"1453","WEST PARK DR","2025",3
"1454","WEST TOWER AV","2023",3
"1455","WESTBROOK DR","2023",3
"1456","WILKINSON ST","2024",3
"1457","WINCHESTER AV","2025",3
"1458","WITTEKIND TER","2024",3
"1459","WOODBINE AV","2023",3
"1460","WOODBINE AV","2024",3
"1461","WUEST ST","2023",3
"1462","13TH ST","2025",2
"1463","28TH ST","2025",2
"1464","ALBANY TER","2023",2
"1465","AMANDA PL","2025",2
"1466","ANDINA AV","2023",2
"1467","ARCHER AV","2023",2
"1468","ARNSBY PL","2024",2
"1469","AVALON ST","2025",2
"1470","AVONLEA AV","2025",2
"1471","BAUM ST","2024",2
"1472","BAURICHTER ST","2024",2
"1473","BAYMILLER ST","2023",2
"1474","BEECHCREST PL","2024",2
"1475","BEECHMONT CIR","2023",2
"1476","BELLEVUE AV","2025",2
"1477","BIG CHIEF DR","2024",2
"1478","BIRCHWOOD AV","2024",2
"1479","BLOOMINGDALE AV","2023",2
"1480","BOUCHAINE WY","2023",2
"1481","BOWLING GREEN CT","2023",2
"1482","BRACHMAN AV","2024",2
"1483","BROADVIEW DR","2024",2
"1484","BROOKLINE DR","2025",2
"1485","BROWNWAY AV","2023",2
"1486","CAPRI DR","2024",2
"1487","CARREL ST","2023",2
"1488","CASS AV","2025",2
"1489","CEDAR AL","2023",2
"1490","CENTRAL AV","2024",2
"1491","CHARLOE ST","2024",2
"1492","CHASE AV","2024",2
"1493","CHICKASAW ST","2024",2
"1494","CHICKERING AV","2023",2
"1495","CLARK ST","2024",2
"1496","CLEARVIEW AV","2023",2
"1497","CLEVES WARSAW PIKE","2024",2
"1498","CLIFF LAINE DR","2025",2
"1499","CLINTON SPRINGS AV","2025",2
"1500","CLUBCREST AV","2023",2
"1501","COLLEGEVUE PL","2025",2
"1502","CONNECTICUT AV","2025",2
"1503","COPELEN ST","2025",2
"1504","CORTELYOU AV","2025",2
"1505","CORVALLIS AV","2025",2
"1506","COSTELLO AV","2023",2
"1507","COVEDALE AV","2023",2
"1508","CRAFT ST","2023",2
"1509","CRAFT ST","2024",2
"1510","CRESTVIEW PL","2025",2
"1511","CULVERT ST","2025",2
"1512","CUTTER ST","2023",2
"1513","CYPRESS GARDEN AV","2024",2
"1514","DE FOREST DR","2025",2
"1515","DELIQUIA DR","2025",2
"1516","DRAKE AV","2024",2
"1517","DUNCAN AV","2024",2
"1518","DURY AV","2023",2
"1519","DURY AV","2025",2
"1520","EASTKNOLL CT","2023",2
"1521","EASTSIDE AV","2025",2
"1522","EATON LN","2024",2
"1523","EUCLID AV","2023",2
"1524","FAIRFAX AV","2023",2
"1525","FAIRPARK AV","2024",2
"1526","FOREST AV","2024",2
"1527","FRANCIS LN","2025",2
"1528","FREEDOM WY","2023",2
"1529","FREEDOM WY","2025",2
"1530","GARFIELD PL","2023",2
"1531","GENESSEE ST","2025",2
"1532","GLENDORA AV","2023",2
"1533","GLENGATE LN","2024",2
"1534","GLENWOOD PL","2024",2
"1535","GOLDEN HOLLOW AV","2025",2
"1536","GOLDENROD DR","2024",2
"1537","GRACELAND AV","2024",2
"1538","GRAND AV","2024",2
"1539","GRANVILLE LN","2023",2
"1540","GRANVILLE LN","2025",2
"1541","GREENLAND PL","2025",2
"1542","GRIEST AV","2024",2
"1543","GROVEDALE PL","2024",2
"1544","HANDMAN AV","2025",2
"1545","HARTWELL AV","2025",2
"1546","HAZELWOOD AV","2025",2
"1547","HEARNE AV","2023",2
"1548","HERRICK AV","2025",2
"1549","HIRSCH DR","2024",2
"1550","HONEYSUCKLE DR","2025",2
"1551","HUDSON AV","2025",2
"1552","INGLENOOK PL","2023",2
"1553","INGLENOOK PL","2024",2
"1554","IOWA AV","2023",2
"1555","IRVING ST","2025",2
"1556","JONATHAN AV","2023",2
"1557","JOSEPH ST","2023",2
"1558","JOYCE LN","2025",2
"1559","JUERGENS AV","2025",2
"1560","JUNE ST","2023",2
"1561","KEENAN AV","2023",2
"1562","KENDALL AV","2024",2
"1563","KENOVA AV","2025",2
"1564","KENWOOD RD","2025",2
"1565","KESSLER AV","2024",2
"1566","KIBBY LN","2024",2
"1567","KILGOUR LN","2024",2
"1568","KILGOUR ST","2024",2
"1569","KINSEY AV","2025",2
"1570","KIRBERT AV","2023",2
"1571","KIRKUP AV","2025",2
"1572","KNOWLTON ST","2023",2
"1573","KREMER AV","2024",2
"1574","KROGERVALLEY DR","2023",2
"1575","LANGDON FARM RD","2025",2
"1576","LANGLAND ST","2025",2
"1577","LE CONTE AV","2025",2
"1578","LIMBERLOST LN","2023",2
"1579","LINGO ST","2023",2
"1580","LINKS DR","2025",2
"1581","LIVINGSTON ST","2023",2
"1582","LOISKA LN","2024",2
"1583","LUSANNE TER","2025",2
"1584","MANNINGTON AV","2025",2
"1585","MARKBREIT AV","2024",2
"1586","MARLOWE AV","2025",2
"1587","MAY ST","2024",2
"1588","MCGREGOR AV","2024",2
"1589","MCPHERSON AV","2024",2
"1590","MEADOWBRIGHT LN","2024",2
"1591","MERYTON PL","2023",2
"1592","MERYTON PL","2024",2
"1593","MEYER PL","2025",2
"1594","MIDDLETON CT","2024",2
"1595","MORSE ST","2023",2
"1596","MUSTANG DR","2023",2
"1597","NASSAU ST","2025",2
"1598","NEW ST","2023",2
"1599","NEW ST","2025",2
"1600","NEWBEDFORD AV","2025",2
"1601","NORTHERN AV","2025",2
"1602","OAKDALE AV","2023",2
"1603","OAKLAWN DR","2025",2
"1604","OHIO RIVER TRAIL","2024",2
"1605","ORION AV","2025",2
"1606","PAPE AV","2025",2
"1607","PARA DR","2024",2
"1608","PARADROME ST","2024",2
