state,county,geoid,address_count,total_rows,ll_uuid,a_id,a_address,a_saddno,a_saddpref,a_saddstr,a_saddsttyp,a_saddstsuf,a_sunit,a_szip5,a_szip,a_carte,a_crtype,a_scity,a_state2,a_county,a_delvseqno,a_usps_elotseq,a_usps_elotsort,a_resbus,a_pmbdesc,a_pmbno,a_dpv_confirm,a_dpv_footnotes,a_default_match,a_lacsflag,a_usps_vacancy,a_nostats,a_error_code,a_extrainfo,a_dpv_type,a_geocodetype,a_moddate,a_census_blockgroup,a_lat,a_lon,a_geoid
IL,Carroll,17015,"12,262","12,485",70%,100%,100%,100%,24%,100%,76%,0%,5%,100%,100%,100%,100%,100%,100%,100%,100%,96%,96%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Cass,17017,"8,434","9,233",74%,100%,100%,100%,40%,100%,77%,0%,5%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Champaign,17019,"119,756","121,027",83%,100%,100%,100%,42%,100%,82%,5%,31%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,97%,100%,100%,100%
IL,Christian,17021,"21,113","21,265",74%,100%,100%,100%,59%,100%,79%,0%,7%,100%,100%,100%,100%,100%,100%,100%,100%,93%,93%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Clark,17023,"10,611","10,684",67%,100%,100%,100%,69%,100%,80%,0%,5%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Clay,17025,"8,978","9,233",77%,100%,100%,100%,28%,100%,77%,4%,3%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Clinton,17027,"21,678","21,849",75%,100%,100%,100%,29%,100%,77%,1%,4%,100%,100%,100%,100%,100%,100%,100%,100%,94%,94%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Coles,17029,"28,922","29,181",78%,100%,100%,100%,26%,100%,78%,1%,19%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Cook,17031,"2,348,233","2,424,677",85%,100%,100%,100%,62%,100%,93%,0%,41%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,99%,100%,100%,100%
IL,Crawford,17033,"11,942","12,349",72%,100%,100%,100%,81%,100%,83%,0%,6%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Cumberland,17035,"7,467","7,555",66%,100%,100%,100%,21%,100%,32%,23%,3%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,DeKalb,17037,"54,456","54,738",77%,100%,100%,100%,32%,100%,86%,2%,22%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,De Witt,17039,"10,491","10,499",73%,100%,100%,100%,44%,100%,77%,2%,8%,100%,100%,100%,100%,100%,100%,100%,100%,95%,95%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Douglas,17041,"11,872","12,084",72%,100%,100%,100%,66%,100%,66%,11%,8%,100%,100%,100%,100%,100%,100%,100%,100%,96%,96%,100%,0%,0%,99%,100%,100%,100%,100%,100%,100%,0%,99%,100%,100%,100%,100%,100%,100%
IL,DuPage,17043,"446,891","455,242",82%,100%,100%,100%,26%,100%,92%,1%,29%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,99%,100%,100%,100%
IL,Edgar,17045,"12,003","12,146",74%,100%,100%,100%,51%,100%,77%,0%,7%,100%,100%,100%,100%,100%,100%,100%,100%,96%,96%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Edwards,17047,"4,437","4,480",71%,100%,100%,100%,43%,100%,54%,25%,4%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Effingham,17049,"20,865","20,992",79%,100%,100%,100%,69%,100%,81%,0%,9%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Fayette,17051,"12,246","12,654",76%,100%,100%,100%,74%,100%,83%,0%,5%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Ford,17053,"9,421","9,602",69%,100%,100%,100%,66%,100%,76%,0%,7%,100%,100%,100%,100%,100%,100%,100%,100%,94%,94%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Franklin,17055,"26,149","26,748",67%,100%,100%,100%,42%,100%,77%,0%,5%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Fulton,17057,"24,154","24,331",63%,100%,100%,100%,66%,100%,67%,0%,7%,100%,100%,100%,100%,100%,100%,100%,100%,94%,94%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Gallatin,17059,"4,803","4,920",48%,100%,100%,100%,22%,100%,55%,0%,2%,100%,100%,100%,100%,100%,100%,100%,100%,95%,95%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Greene,17061,"8,293","8,412",71%,100%,100%,100%,41%,100%,79%,0%,4%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,99%,100%,100%,100%
IL,Grundy,17063,"28,116","28,174",74%,100%,100%,100%,40%,100%,86%,0%,10%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Hamilton,17065,"5,497","5,571",80%,100%,100%,100%,40%,100%,55%,28%,5%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Hancock,17067,"14,353","14,550",62%,100%,100%,100%,46%,100%,51%,5%,6%,100%,100%,100%,100%,100%,100%,100%,100%,96%,96%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Hardin,17069,"2,863","2,924",50%,100%,100%,100%,10%,100%,42%,10%,2%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Henderson,17071,"6,217","6,317",48%,100%,100%,100%,23%,100%,30%,0%,2%,100%,100%,100%,100%,100%,100%,100%,100%,87%,87%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,97%,100%,97%,100%,100%,100%
IL,Henry,17073,"30,752","31,168",77%,100%,100%,100%,42%,100%,78%,1%,8%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Iroquois,17075,"21,636","21,999",54%,100%,100%,100%,59%,100%,64%,0%,5%,100%,100%,100%,100%,100%,100%,100%,100%,92%,92%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Jackson,17077,"41,509","41,509",58%,100%,100%,100%,41%,100%,81%,1%,25%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Jasper,17079,"5,954","5,994",75%,100%,100%,100%,70%,100%,80%,0%,4%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,99%,100%,100%,100%
IL,Jefferson,17081,"22,743","23,155",76%,100%,100%,100%,57%,100%,84%,0%,9%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Jersey,17083,"11,966","12,985",81%,100%,100%,100%,23%,100%,85%,1%,6%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Jo Daviess,17085,"18,034","18,099",72%,100%,100%,100%,41%,100%,79%,3%,6%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Johnson,17087,"8,429","11,645",70%,100%,100%,100%,11%,100%,70%,9%,1%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Kane,17089,"238,191","240,388",89%,100%,100%,100%,18%,100%,91%,0%,17%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,98%,100%,100%,100%
IL,Kankakee,17091,"60,395","60,754",79%,100%,100%,100%,53%,100%,84%,2%,15%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Kendall,17093,"58,279","58,584",90%,100%,100%,100%,11%,100%,91%,2%,8%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Knox,17095,"32,327","32,427",74%,100%,100%,100%,40%,100%,75%,6%,14%,100%,100%,100%,100%,100%,100%,100%,100%,96%,96%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,96%,100%,100%,100%
IL,Lake,17097,"360,018","370,130",92%,100%,100%,100%,31%,100%,90%,1%,25%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,LaSalle,17099,"67,066","67,861",75%,100%,100%,100%,35%,100%,82%,0%,12%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Lawrence,17101,"9,177","10,003",79%,100%,100%,100%,13%,100%,82%,0%,5%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,99%,100%,100%,100%
IL,Lee,17103,"20,948","21,092",78%,100%,100%,100%,28%,100%,77%,0%,10%,100%,100%,100%,100%,100%,100%,100%,100%,95%,95%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Livingston,17105,"22,288","22,511",70%,100%,100%,100%,69%,100%,79%,0%,10%,100%,100%,100%,100%,100%,100%,100%,100%,95%,95%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Logan,17107,"17,085","17,340",74%,100%,100%,100%,30%,100%,79%,0%,9%,100%,100%,100%,100%,100%,100%,100%,100%,95%,95%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,McDonough,17109,"20,014","20,117",77%,100%,100%,100%,59%,100%,82%,0%,19%,100%,100%,100%,100%,100%,100%,100%,100%,95%,95%,100%,0%,0%,99%,100%,100%,100%,100%,100%,100%,0%,99%,100%,100%,100%,100%,100%,100%
IL,McHenry,17111,"154,682","155,559",86%,100%,100%,100%,15%,100%,88%,0%,11%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,98%,100%,100%,100%
IL,McLean,17113,"93,967","95,773",86%,100%,100%,100%,34%,100%,89%,0%,28%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Macon,17115,"66,459","66,610",83%,100%,100%,100%,57%,100%,84%,0%,13%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Macoupin,17117,"29,329","31,369",75%,100%,100%,100%,39%,100%,80%,0%,4%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Madison,17119,"149,759","152,137",84%,100%,100%,100%,13%,100%,89%,1%,13%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Marion,17121,"25,883","26,407",72%,100%,100%,100%,36%,100%,79%,0%,6%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Marshall,17123,"9,530","9,581",60%,100%,100%,100%,20%,100%,60%,9%,4%,100%,100%,100%,100%,100%,100%,100%,100%,93%,93%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Mason,17125,"10,288","10,633",65%,100%,100%,100%,61%,100%,52%,7%,4%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Massac,17127,"9,908","10,069",76%,100%,100%,100%,23%,100%,83%,0%,6%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Menard,17129,"7,986","8,043",65%,100%,100%,100%,34%,100%,78%,0%,3%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Mercer,17131,"11,395","12,263",65%,100%,100%,100%,23%,100%,71%,0%,4%,100%,100%,100%,100%,100%,100%,100%,100%,91%,91%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Monroe,17133,"18,706","18,738",78%,100%,100%,100%,18%,100%,84%,1%,8%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Montgomery,17135,"19,003","22,049",74%,100%,100%,100%,42%,100%,76%,0%,4%,100%,100%,100%,100%,100%,100%,100%,100%,95%,95%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Morgan,17137,"20,520","20,682",84%,100%,100%,100%,34%,100%,83%,1%,13%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,95%,100%,100%,100%
IL,Moultrie,17139,"9,099","9,145",70%,100%,100%,100%,40%,100%,54%,3%,5%,100%,100%,100%,100%,100%,100%,100%,100%,96%,96%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Ogle,17141,"31,544","31,901",72%,100%,100%,100%,55%,100%,79%,0%,9%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Peoria,17143,"106,846","107,307",81%,100%,100%,100%,84%,100%,91%,0%,21%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,97%,100%,100%,100%
IL,Perry,17145,"12,510","12,688",76%,100%,100%,100%,41%,100%,76%,0%,6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,99%,100%,100%,100%
IL,Piatt,17147,"12,243","12,688",66%,100%,100%,100%,48%,100%,66%,0%,5%,100%,100%,100%,100%,100%,100%,100%,100%,92%,92%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Pike,17149,"11,669","11,878",51%,100%,100%,100%,30%,100%,66%,0%,3%,100%,100%,100%,100%,100%,100%,100%,100%,95%,95%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,99%,100%,100%,100%
IL,Pope,17151,"2,960","3,119",64%,100%,100%,100%,15%,100%,63%,9%,4%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Pulaski,17153,"5,583","5,846",48%,100%,100%,100%,16%,100%,60%,0%,2%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,99%,100%,100%,100%
IL,Putnam,17155,"5,188","5,829",60%,100%,100%,100%,37%,100%,62%,1%,1%,100%,100%,100%,100%,100%,100%,100%,100%,84%,84%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Randolph,17157,"18,654","18,925",69%,100%,100%,100%,26%,100%,76%,0%,5%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Richland,17159,"10,474","10,712",77%,100%,100%,100%,75%,100%,83%,0%,8%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Rock Island,17161,"84,042","84,727",78%,100%,100%,100%,3%,100%,83%,11%,18%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,98%,100%,100%,100%
IL,St. Clair,17163,"146,406","154,784",84%,100%,100%,100%,24%,100%,90%,1%,13%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,98%,100%,100%,100%
IL,Saline,17165,"17,499","17,681",63%,100%,100%,100%,31%,100%,76%,5%,7%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Sangamon,17167,"120,700","122,080",75%,100%,100%,100%,39%,100%,86%,1%,18%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,95%,100%,100%,100%
IL,Schuyler,17169,"4,581","4,676",79%,100%,100%,100%,32%,100%,80%,0%,5%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Scott,17171,"3,496","3,529",58%,100%,100%,100%,36%,100%,68%,0%,1%,100%,100%,100%,100%,100%,100%,100%,100%,96%,96%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Shelby,17173,"14,210","14,312",72%,100%,100%,100%,66%,100%,73%,0%,4%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Stark,17175,"4,606","4,674",59%,100%,100%,100%,38%,100%,51%,12%,5%,100%,100%,100%,100%,100%,100%,100%,100%,88%,88%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,99%,100%,100%,100%
IL,Stephenson,17177,"28,598","28,730",77%,100%,100%,100%,61%,100%,84%,2%,11%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Tazewell,17179,"74,588","75,894",85%,100%,100%,100%,22%,100%,88%,0%,12%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,98%,100%,100%,100%
IL,Union,17181,"11,726","13,775",72%,100%,100%,100%,17%,100%,74%,6%,6%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Vermilion,17183,"47,820","48,988",74%,100%,100%,100%,42%,100%,82%,0%,11%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Wabash,17185,"7,596","7,680",71%,100%,100%,100%,51%,100%,78%,1%,10%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,100%,99%,100%,100%,100%
IL,Warren,17187,"11,530","11,689",71%,100%,100%,100%,48%,100%,73%,0%,8%,100%,100%,100%,100%,100%,100%,100%,100%,96%,96%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Washington,17189,"9,566","10,072",72%,100%,100%,100%,41%,100%,68%,0%,1%,100%,100%,100%,100%,100%,100%,100%,100%,95%,95%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Wayne,17191,"10,718","10,855",65%,100%,100%,100%,31%,100%,41%,31%,6%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,White,17193,"10,497","10,719",67%,100%,100%,100%,21%,100%,52%,24%,6%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Whiteside,17195,"33,785","34,171",82%,100%,100%,100%,23%,100%,82%,1%,11%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Will,17197,"305,794","305,877",91%,100%,100%,100%,28%,100%,93%,1%,13%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IL,Williamson,17199,"42,288","43,641",79%,100%,100%,100%,36%,100%,85%,0%,11%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,99%,100%,100%,100%
IL,Winnebago,17201,"154,201","155,744",87%,100%,100%,100%,13%,100%,92%,0%,16%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,96%,100%,100%,100%
IL,Woodford,17203,"22,042","22,253",76%,100%,100%,100%,34%,100%,71%,9%,6%,100%,100%,100%,100%,100%,100%,100%,100%,96%,96%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IN,Adams,18001,"17,147","17,630",84%,100%,100%,100%,58%,100%,57%,26%,9%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IN,Allen,18003,"199,894","201,625",92%,100%,100%,100%,10%,100%,93%,1%,14%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,96%,100%,100%,100%
IN,Bartholomew,18005,"42,774","43,294",90%,100%,100%,100%,29%,100%,78%,13%,11%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,96%,100%,100%,100%
IN,Benton,18007,"6,078","6,142",65%,100%,100%,100%,67%,100%,43%,20%,3%,100%,100%,100%,100%,100%,100%,100%,100%,97%,97%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IN,Blackford,18009,"7,774","7,912",84%,100%,100%,100%,84%,100%,65%,20%,10%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IN,Boone,18011,"37,470","41,988",92%,100%,100%,100%,38%,100%,78%,14%,9%,100%,100%,100%,100%,100%,100%,100%,100%,98%,98%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IN,Brown,18013,"11,123","11,648",81%,100%,100%,100%,17%,100%,75%,6%,3%,100%,100%,100%,100%,100%,100%,100%,100%,96%,96%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IN,Carroll,18015,"12,331","12,996",83%,100%,100%,100%,80%,100%,45%,36%,5%,100%,100%,100%,100%,100%,100%,100%,100%,95%,95%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
IN,Cass,18017,"21,321","21,648",82%,100%,100%,100%,46%,100%,58%,20%,7%,100%,100%,100%,100%,100%,100%,100%,100%,95%,95%,100%,0%,0%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%
