geoid,state,county,city,path,last_refresh,parcels_total,parcels_in_zone,zones_total,distinct_municipalities,last_date_modified,ogc_fid_pct,zoning_id_pct,municipality_id_pct,municipality_name_pct,zoning_pct,zoning_description_pct,zoning_type_pct,zoning_subtype_pct,zoning_guide_pct,zoning_code_link_pct,permitted_land_uses_pct,land_use_flags_permitted_pct,land_use_flags_conditional_pct,min_lot_area_sq_ft_pct,min_lot_width_ft_pct,max_building_height_ft_pct,max_far_pct,max_coverage_pct_pct,min_front_setback_ft_pct,min_rear_setback_ft_pct,max_impervious_coverage_pct_pct,min_side_setback_ft_pct,min_landscaped_space_pct_pct,min_open_space_pct_pct,max_density_du_per_acre_pct,zoning_data_date_pct,path_pct,centroid_pct
08067,CO,La Plata,,/us/co/la-plata,2025-05-13,"35,609","10,787",957,3,2025-06-02,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,83%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08069,CO,Larimer,,/us/co/larimer,2025-11-11,"180,098","180,025","3,270",9,2025-06-16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,83%,51%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08071,CO,Las Animas,,/us/co/las-animas,2025-03-04,"19,051","18,046","1,217",3,2025-06-03,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,84%,85%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08073,CO,Lincoln,,/us/co/lincoln,2025-03-04,"5,622","5,468",58,4,2025-06-03,100%,100%,100%,100%,100%,100%,100%,100%,86%,100%,84%,74%,38%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08075,CO,Logan,,/us/co/logan,2024-12-17,"12,262","11,845",175,4,2025-08-04,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,95%,90%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08077,CO,Mesa,,/us/co/mesa,2025-03-18,"78,522","78,492","4,215",6,2025-06-05,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,82%,82%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08079,CO,Mineral,,/us/co/mineral,2025-02-04,"3,586","3,579",368,2,2025-06-03,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,90%,29%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08081,CO,Moffat,,/us/co/moffat,2025-04-01,"10,488","10,483",149,3,2025-06-05,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,87%,89%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08083,CO,Montezuma,,/us/co/montezuma,2025-09-03,"15,697","15,632","3,930",4,2025-06-11,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,93%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08085,CO,Montrose,,/us/co/montrose,2024-04-23,"29,181","29,147",910,5,2025-06-13,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,92%,91%,71%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08087,CO,Morgan,,/us/co/morgan,2025-09-30,"16,031","14,810",601,4,2025-06-05,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,83%,56%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08089,CO,Otero,,/us/co/otero,2025-10-28,"13,257","5,408",622,2,2025-06-13,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08091,CO,Ouray,,/us/co/ouray,2025-04-01,"8,274","8,230",59,3,2025-06-05,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,97%,64%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08093,CO,Park,,/us/co/park,2025-04-01,"44,020","43,391","1,136",3,2025-06-03,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08095,CO,Phillips,,/us/co/phillips,2025-03-18,"4,498",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
08097,CO,Pitkin,,/us/co/pitkin,2025-02-19,"19,238","19,123",531,4,2025-06-11,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,95%,73%,68%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08099,CO,Prowers,,/us/co/prowers,2025-10-28,"9,962","8,789",124,2,2025-06-05,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,94%,55%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08101,CO,Pueblo,,/us/co/pueblo,2025-03-18,"101,078","100,731","2,422",2,2025-06-11,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,93%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08103,CO,Rio Blanco,,/us/co/rio-blanco,2024-11-19,"5,126","5,125",241,3,2025-06-16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,95%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08105,CO,Rio Grande,,/us/co/rio-grande,2025-04-01,"12,974","12,901","1,498",4,2025-06-05,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,97%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08107,CO,Routt,,/us/co/routt,2025-05-13,"25,381","24,538",980,3,2025-06-05,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,95%,85%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08109,CO,Saguache,,/us/co/saguache,2025-05-13,"14,529",244,9,1,2025-06-05,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,33%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08111,CO,San Juan,,/us/co/san-juan,2025-05-28,"6,142","6,098",41,2,2025-06-05,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,83%,41%,24%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08113,CO,San Miguel,,/us/co/san-miguel,2025-02-04,"10,688","10,656",345,5,2025-06-12,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,96%,79%,73%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08115,CO,Sedgwick,,/us/co/sedgwick,2025-07-22,"3,149",0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
08117,CO,Summit,,/us/co/summit,2025-04-01,"38,089","28,799","1,268",7,2025-06-12,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,70%,71%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08119,CO,Teller,,/us/co/teller,2025-03-18,"31,319","31,245",919,6,2025-06-05,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,95%,92%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08121,CO,Washington,,/us/co/washington,2024-09-24,"6,445","1,323",31,2,2025-08-06,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,84%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08123,CO,Weld,,/us/co/weld,2024-04-10,"239,252","237,134","4,275",29,2025-06-16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,94%,83%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
08125,CO,Yuma,,/us/co/yuma,2025-04-29,"11,881","1,615",59,1,2025-06-11,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,78%,66%,66%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
09110,CT,Capitol Planning Region,,/us/ct/capitol,2025-10-15,"352,855","349,531","8,058",40,2025-03-19,100%,100%,100%,100%,100%,100%,100%,100%,26%,100%,100%,85%,88%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
09120,CT,Greater Bridgeport Planning Region,,/us/ct/greater-bridgeport,2025-10-15,"105,217","104,878","3,995",6,2025-01-28,100%,100%,100%,100%,100%,100%,100%,100%,75%,100%,100%,24%,71%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
09130,CT,Lower Connecticut River Valley Planning Region,,/us/ct/lower-connecticut-river-valley,2025-07-22,"82,957","82,267","1,673",17,2024-07-30,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,71%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
09140,CT,Naugatuck Valley Planning Region,,/us/ct/naugatuck-valley,2025-03-04,"157,794","134,350","1,327",17,2024-07-30,100%,100%,100%,100%,100%,100%,100%,100%,23%,100%,98%,83%,63%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
09150,CT,Northeastern Connecticut Planning Region,,/us/ct/northeastern-connecticut,2025-10-15,"46,281","21,727",264,8,2024-12-04,100%,100%,100%,100%,100%,100%,100%,100%,2%,100%,95%,89%,92%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
09160,CT,Northwest Hills Planning Region,,/us/ct/northwest-hills,2025-02-04,"61,269","28,275",351,7,2024-09-25,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,98%,88%,92%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
09170,CT,South Central Connecticut Planning Region,,/us/ct/south-central-connecticut,2025-10-15,"185,580","184,391","3,636",16,2025-04-17,100%,100%,100%,100%,100%,100%,100%,100%,55%,100%,98%,75%,87%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
09180,CT,Southeastern Connecticut Planning Region,,/us/ct/southeastern-connecticut,2025-07-08,"109,880","108,389","1,643",25,2024-08-07,100%,100%,100%,100%,100%,100%,100%,100%,1%,100%,99%,67%,81%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
09190,CT,Western Connecticut Planning Region,,/us/ct/western-connecticut,2025-10-15,"205,128","177,895","1,592",15,2025-09-12,100%,100%,100%,100%,100%,100%,100%,100%,15%,100%,98%,83%,71%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
10001,DE,Kent,,/us/de/kent,2025-11-11,"82,916","81,148","3,238",13,2024-06-13,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,97%,70%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
10003,DE,New Castle,,/us/de/new-castle,2025-02-04,"200,794","192,285","4,827",8,2025-05-21,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,94%,87%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
10005,DE,Sussex,,/us/de/sussex,2025-02-04,"201,596","199,180","3,433",26,2025-05-28,100%,100%,100%,100%,100%,100%,100%,100%,66%,100%,100%,97%,82%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
11001,DC,Washington,,/us/dc/district-of-columbia,2025-02-04,"207,339","207,339",943,1,2024-02-19,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,97%,96%,84%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12001,FL,Alachua,,/us/fl/alachua,2025-10-28,"118,559","118,305","5,206",13,2025-04-25,100%,100%,100%,100%,100%,100%,100%,100%,79%,100%,98%,92%,85%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12003,FL,Baker,,/us/fl/baker,2025-08-19,"13,050","13,016","1,394",3,2024-07-30,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,97%,93%,89%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12005,FL,Bay,,/us/fl/bay,2025-10-28,"133,245","132,693","9,640",11,2025-04-23,100%,100%,100%,100%,100%,100%,100%,100%,41%,100%,99%,95%,37%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12007,FL,Bradford,,/us/fl/bradford,2025-09-03,"15,767","15,740",393,6,2025-03-27,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,98%,81%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12009,FL,Brevard,,/us/fl/brevard,2025-10-28,"350,689","349,285","22,042",16,2025-04-24,100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,100%,93%,65%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12011,FL,Broward,,/us/fl/broward,2025-09-16,"786,481","782,701","8,228",32,2025-09-19,100%,100%,100%,100%,100%,100%,100%,100%,80%,100%,98%,85%,55%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12013,FL,Calhoun,,/us/fl/calhoun,2025-09-03,"12,094","11,983",330,3,2025-04-22,100%,100%,100%,100%,100%,100%,100%,100%,53%,100%,88%,70%,35%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12015,FL,Charlotte,,/us/fl/charlotte,2025-10-28,"223,448","223,312","1,515",2,2025-09-12,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,97%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12017,FL,Citrus,,/us/fl/citrus,2025-09-03,"147,973","147,279","12,032",4,2025-04-24,100%,100%,100%,100%,100%,100%,100%,100%,4%,100%,100%,97%,86%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12019,FL,Clay,,/us/fl/clay,2025-09-03,"102,343","102,222","7,617",5,2025-03-27,100%,100%,100%,100%,100%,100%,100%,100%,7%,100%,78%,60%,73%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12021,FL,Collier,,/us/fl/collier,2025-08-19,"294,830","294,662","1,675",4,2025-04-22,100%,100%,100%,100%,100%,100%,100%,100%,15%,100%,96%,75%,83%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12023,FL,Columbia,,/us/fl/columbia,2025-09-03,"37,676","37,662",598,3,2025-04-18,100%,100%,100%,100%,100%,100%,100%,100%,96%,100%,93%,89%,74%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12027,FL,DeSoto,,/us/fl/desoto,2025-09-03,"20,106","20,050","1,414",2,2024-04-03,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,97%,62%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12029,FL,Dixie,,/us/fl/dixie,2025-09-03,"16,385","16,353",343,3,2024-04-03,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,99%,56%,76%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12031,FL,Duval,,/us/fl/duval,2025-11-11,"403,191","403,172","6,270",7,2025-09-01,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,99%,73%,73%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12033,FL,Escambia,,/us/fl/escambia,2025-09-03,"159,494","159,233","7,685",4,2025-04-22,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,99%,95%,87%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12035,FL,Flagler,,/us/fl/flagler,2025-08-19,"87,594","87,289","8,187",6,2025-04-24,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,23%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12037,FL,Franklin,,/us/fl/franklin,2025-09-03,"18,686","18,550","1,615",4,2025-04-18,100%,100%,100%,100%,100%,100%,100%,100%,58%,100%,99%,63%,65%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12039,FL,Gadsden,,/us/fl/gadsden,2025-09-03,"27,564","27,190","6,873",6,2025-04-08,100%,100%,100%,100%,100%,100%,100%,100%,94%,100%,87%,82%,1%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12041,FL,Gilchrist,,/us/fl/gilchrist,2025-09-03,"15,231","15,183",250,4,2025-04-24,100%,100%,100%,100%,100%,100%,100%,100%,23%,100%,98%,90%,88%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12043,FL,Glades,,/us/fl/glades,2025-09-03,"11,379","10,814","1,156",3,2025-04-18,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,91%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12045,FL,Gulf,,/us/fl/gulf,2025-09-03,"18,850","18,732","4,581",4,2025-03-28,100%,100%,100%,100%,100%,100%,100%,100%,92%,100%,89%,88%,1%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12047,FL,Hamilton,,/us/fl/hamilton,2025-11-11,"14,603","13,233",186,2,2025-03-28,100%,100%,100%,100%,100%,100%,100%,100%,82%,100%,98%,87%,75%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12049,FL,Hardee,,/us/fl/hardee,2025-09-03,"14,748","14,735","1,013",4,2025-04-04,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,91%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12051,FL,Hendry,,/us/fl/hendry,2025-09-03,"35,798","35,776","2,075",3,2025-04-04,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,93%,88%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12053,FL,Hernando,,/us/fl/hernando,2025-09-03,"119,185","118,342","10,584",4,2025-04-29,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,83%,52%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12055,FL,Highlands,,/us/fl/highlands,2025-10-28,"113,204","113,014","9,962",4,2025-04-22,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,93%,87%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12057,FL,Hillsborough,,/us/fl/hillsborough,2025-10-28,"527,730","527,598","9,822",5,2025-04-23,100%,100%,100%,100%,100%,100%,100%,100%,29%,100%,89%,79%,85%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12059,FL,Holmes,,/us/fl/holmes,2025-09-03,"14,873","14,864",229,7,2025-04-15,100%,100%,100%,100%,100%,100%,100%,100%,1%,65%,100%,66%,1%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12061,FL,Indian River,,/us/fl/indian-river,2025-09-03,"94,790","94,679","2,626",6,2025-04-29,100%,100%,100%,100%,100%,100%,100%,100%,27%,100%,99%,91%,42%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12063,FL,Jackson,,/us/fl/jackson,2025-09-03,"42,991","41,605","1,631",8,2025-04-22,100%,100%,100%,100%,100%,100%,100%,100%,33%,100%,95%,75%,10%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12065,FL,Jefferson,,/us/fl/jefferson,2025-09-03,"12,939","12,501",564,3,2025-04-18,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12067,FL,Lafayette,,/us/fl/lafayette,2025-09-03,"7,481","7,480",153,2,2024-05-01,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,100%,94%,78%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12069,FL,Lake,,/us/fl/lake,2025-10-28,"212,335","211,193","13,358",17,2025-04-23,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,96%,91%,77%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12071,FL,Lee,,/us/fl/lee,2025-10-28,"559,905","559,322","9,551",7,2025-04-25,100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,99%,96%,49%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12073,FL,Leon,,/us/fl/leon,2025-10-28,"112,556","112,546","1,446",3,2025-04-23,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,69%,20%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12075,FL,Levy,,/us/fl/levy,2025-09-03,"48,312","48,017","3,414",10,2025-04-24,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,77%,64%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12077,FL,Liberty,,/us/fl/liberty,2025-09-03,"6,354","6,325",82,5,2025-04-22,100%,100%,100%,100%,100%,100%,100%,100%,4%,100%,98%,38%,1%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12079,FL,Madison,,/us/fl/madison,2025-09-03,"16,481","15,572",347,4,2025-04-18,100%,100%,100%,100%,100%,100%,100%,100%,1%,100%,40%,39%,37%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12081,FL,Manatee,,/us/fl/manatee,2025-10-28,"228,813","227,990","5,196",7,2025-03-19,100%,100%,100%,100%,100%,100%,100%,100%,8%,100%,90%,85%,38%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12083,FL,Marion,,/us/fl/marion,2025-09-03,"285,285","284,461","17,111",7,2025-04-22,100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,100%,91%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12085,FL,Martin,,/us/fl/martin,2025-10-28,"96,879","96,625","4,564",6,2025-04-23,100%,100%,100%,100%,100%,100%,100%,100%,19%,100%,94%,86%,18%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12086,FL,Miami-Dade,,/us/fl/miami-dade,2025-11-11,"934,995","933,225","12,331",37,2025-08-21,100%,100%,100%,100%,100%,100%,100%,100%,84%,100%,97%,88%,54%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12087,FL,Monroe,,/us/fl/monroe,2025-09-03,"89,525","86,255","4,660",6,2025-04-17,100%,100%,100%,100%,100%,100%,100%,100%,16%,100%,99%,90%,28%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12089,FL,Nassau,,/us/fl/nassau,2025-10-28,"59,704","59,503","3,597",4,2025-04-15,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,69%,64%,48%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12091,FL,Okaloosa,,/us/fl/okaloosa,2025-10-28,"113,249","113,137","3,896",10,2025-04-24,100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,97%,89%,40%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12093,FL,Okeechobee,,/us/fl/okeechobee,2025-09-03,"31,655","31,623","2,542",2,2025-04-18,100%,100%,100%,100%,100%,100%,100%,100%,95%,100%,99%,92%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12095,FL,Orange,,/us/fl/orange,2025-10-28,"493,698","492,554","17,940",17,2025-04-29,100%,100%,100%,100%,100%,100%,100%,100%,89%,100%,99%,95%,83%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12097,FL,Osceola,,/us/fl/osceola,2025-10-28,"210,709","209,152","5,444",4,2025-04-23,100%,100%,100%,100%,100%,100%,100%,100%,78%,100%,95%,87%,59%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12099,FL,Palm Beach,,/us/fl/palm-beach,2025-10-28,"682,146","681,079","11,657",40,2025-04-29,100%,100%,100%,100%,100%,100%,100%,100%,49%,100%,96%,89%,67%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12101,FL,Pasco,,/us/fl/pasco,2025-10-28,"318,117","317,904","4,780",8,2025-04-15,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,97%,95%,85%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12103,FL,Pinellas,,/us/fl/pinellas,2025-10-28,"436,362","435,479","17,698",25,2025-08-22,100%,100%,100%,100%,100%,100%,100%,100%,42%,100%,97%,87%,65%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12105,FL,Polk,,/us/fl/polk,2025-08-19,"431,112","430,672","9,199",19,2025-04-23,100%,100%,100%,100%,100%,100%,100%,100%,71%,100%,88%,67%,60%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12107,FL,Putnam,,/us/fl/putnam,2025-08-19,"97,835","97,755","7,024",7,2025-04-15,100%,100%,100%,100%,100%,100%,100%,100%,94%,100%,99%,94%,52%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12109,FL,St. Johns,,/us/fl/st-johns,2025-08-19,"228,735","226,524","2,981",4,2025-08-29,100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,97%,83%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12111,FL,St. Lucie,,/us/fl/st-lucie,2025-10-28,"189,587","188,535","6,404",4,2025-04-24,100%,100%,100%,100%,100%,100%,100%,100%,84%,100%,99%,79%,61%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12113,FL,Santa Rosa,,/us/fl/santa-rosa,2025-08-19,"115,637","110,667","6,381",6,2025-04-24,100%,100%,100%,100%,100%,100%,100%,100%,3%,100%,100%,98%,91%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
